SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=C
AtomicNumber=6
MassNumber=12
E [MeV/u]	dEdx [MeV/cm]
354.446		115.322
359.381		114.502
364.386		113.693
369.46		112.895
374.605		112.108
379.822		111.333
385.111		110.569
390.474		109.816
395.911		109.076
401.424		108.346
407.014		107.627
412.682		106.92
418.429		106.226
424.256		105.544
430.164		104.873
436.154		104.214
442.227		103.567
448.386		102.932
454.63		102.308
460.96		101.694
467.38		101.091
473.888		100.498
480.487		99.9139
487.178		99.339
493.962		98.7721
500.841		98.2126
507.815		97.6601
514.887		97.1149
522.057		96.577
529.327		96.0467
536.698		95.524
544.171		95.009
551.749		94.5017
559.433		94.0021
567.223		93.5103
575.122		93.0263
583.131		92.55
591.251		92.0813
599.484		91.6195
607.832		91.1647
616.297		90.7175
624.879		90.2779
633.58		89.8462
642.403		89.4223
651.349		89.0063
660.419		88.5981
669.616		88.1979
678.941		87.8056
688.395		87.421
697.981		87.0443
707.701		86.6751
717.556		86.3135
727.548		85.9592
737.68		85.612
747.952		85.2717
758.368		84.938
768.928		84.6105
779.636		84.289
790.493		83.9728
801.501		83.6644
812.662		83.362
823.979		83.0646
835.453		82.7722
847.087		82.4849
858.883		82.2025
870.843		81.9252
882.97		81.653
895.266		81.3857
907.733		81.1234
920.373		80.866
933.19		80.6133
946.185		80.3654
959.361		80.122
972.72		79.883
986.266		79.6482
1000		79.4164
